"kcmc","xskcdm","kcdm","xf","kclb","kkxy","category","dl","lx"
"二外德语Ⅱ","PHIL3058M（43190190）","PHIL3058M","2.0","专业课","哲学学院","所有类（专业）","zy_qb","bl"
"二氧化碳捕集利用封存","ENER3028M（59120270）","ENER3028M","1.5","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"发酵工艺学","13120080","13120080","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"发育生物学","BIO3038MZ（071Q0012）","BIO3038MZ","2.0","专业课","生命科学学院","专业基础课程","Z","bl"
"法国概况","SIS2306M（05127580）","SIS2306M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法国文学史","SIS3306M（05195010）","SIS3306M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法国与欧盟问题研究","SIS3310M（05127660）","SIS3310M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法理学","LAW1002F（021A0011）","LAW1002F","3.0","专业基础课程","光华法学院","跨类(专业)选课","xk_1_1","bl"
"法律逻辑学","LAW1003M（02120930）","LAW1003M","2.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"法律英语","SIS2031M","SIS2031M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法学基础","MARX0300G（5513N001）","MARX0300G","1.5","通识","马克思主义学院","全部课程","xk_n","bl"
"法学理论导引","LAW1006FZ（021Z0010）","LAW1006FZ","2.0","专业基础课程","光华法学院","专业基础课程","Z","bl"
"法学通论","LAW0300G（0213N001）","LAW0300G","1.5","通识","光华法学院","全部课程","xk_n","bl"
"法医学","MED2021M（18121850）","MED2021M","1.5","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"法语笔译理论与实践","SIS3304M（05127650）","SIS3304M","1.5","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法语口译","SIS3305M（05127670）","SIS3305M","1.5","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法语视听说Ⅱ","SIS1304M（05127690）","SIS1304M","1.0","专业课","外国语学院","跨类(专业)选课","xk_1_1","bl"
"法语视听说Ⅳ","SIS2304M（05198290）","SIS2304M","1.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法语与国际组织","SIS2309M（05128220）","SIS2309M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法语综合语法","SIS2307M（05198410）","SIS2307M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"法语Ⅱ","SIS1302G（051F0150）","SIS1302G","3.0","通识","外国语学院","全部课程","xk_b","bl"
"法语Ⅳ","SIS2302G（051F0170）","SIS2302G","3.0","通识","外国语学院","全部课程","xk_b","bl"
"翻译学导论","SIS2604M（05122481）","SIS2604M","3.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"泛函分析","MATH3103M（06120360）","MATH3103M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"方法论","PA2088M（241Z0240）","PA2088M","1.5","专业课","社会学系","所有类（专业）","zy_qb","bl"
"房地产金融与经济","ECON3007M（01192271）","ECON3007M","2.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"房屋建筑学","CCEA2705M（12120330）","CCEA2705M","2.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"飞行器飞行动力学","AA3040M（26190024）","AA3040M","2.5","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"飞行器结构动力学","AA3033M（26120382）","AA3033M","2.5","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"飞行器总体设计","AA3029M（26120084）","AA3029M","3.5","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"分离工程","CBE3037M（81120300）","CBE3037M","2.5","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"分析化学（甲）","CHEM1001F（771B0020）","CHEM1001F","3.0","专业基础课程","化学系","所有类（专业）","zy_qb","bl"
"分析化学（乙）","CHEM1002F（771B0030）","CHEM1002F","2.0","专业基础课程","化学系","跨类(专业)选课","xk_1_1","bl"
"分析化学Ⅱ","CHEM2102MZ（061Q0026）","CHEM2102MZ","3.0","专业课","化学系","专业基础课程","Z","bl"
"分析学 Ⅱ","MATH1182MZ（821Q0004）","MATH1182MZ","5.0","专业课","数学科学学院","专业基础课程","Z","bl"
"分子生物学","BIO3040MZ（071Q0017）","BIO3040MZ","3.0","专业课","生命科学学院","专业基础课程","Z","bl"
"分子生物学","MED2083M","MED2083M","2.0","专业课","基础医学系","所有类（专业）","zy_qb","bl"
"分子生物学（甲）","BIO2023M（07120041）","BIO2023M","3.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"分子生物学概论","CAB2018M（16121760）","CAB2018M","2.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"分子生物学及实验","BIO2029M（07120940）","BIO2029M","4.0","专业课","生命科学学院","所有类（专业）","zy_qb","bl"
"风景园林的可持续之道：理论与实践","CAB3529M（16196410）","CAB3529M","2.0","专业课","农业与生物技术学院","国际化课程","gjhkc","zl"
"风能","ENER3029M（60190130）","ENER3029M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"风湿免疫科实习","MED5568M（18180010）","MED5568M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"风险沟通","MIC2164M","MIC2164M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"蜂产品学","CAS3070M（17191030）","CAS3070M","2.0","专业课","动物科学学院","所有类（专业）","zy_qb","bl"
"佛教与丝绸之路","HIST3040M（04125100）","HIST3040M","2.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"服务计算与智能服务系统","CS3218M1","CS3218M1","2.5","专业课","软件学院","所有类（专业）","zy_qb","bl"
"服务营销","MGMT3027M（20190110）","MGMT3027M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"辐射防护","ENVR2204M（14195240）","ENVR2204M","1.5","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"妇产科实习","MED5523M（18188490）","MED5523M","6.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"妇产科实习","MED5545M（70180193）","MED5545M","4.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"妇产科学（甲）","MED4510M（18120121）","MED4510M","4.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"妇产科学（乙）","MED3550M（18120122）","MED3550M","2.5","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"妇幼保健","MED2419M（73190080）","MED2419M","1.5","专业课","公共卫生学院","所有类（专业）","zy_qb","bl"
"复变函数","MATH2183MZ（751Q0006）","MATH2183MZ","3.5","专业课","数学科学学院","专业基础课程","Z","bl"
"复变函数","MATH2104M（06110180）","MATH2104M","3.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"复合材料","MSE3122M（09192340）","MSE3122M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"复合材料力学","AA3021M（26190030）","AA3021M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"概率论与数理统计","MATH2432F（061B9090）","MATH2432F","2.5","专业基础课程","数学科学学院","跨类(专业)选课","xk_1_1","bl"
"概率论与数理统计导论","MATH2431F（061B9099）","MATH2431F","2.5","专业基础课程","数学科学学院","所有类（专业）","zy_qb","bl"
"感知、通信与控制","CS2044M（21122130）","CS2044M","4.0","专业课","计算机科学与技术学院","所有类（专业）","zy_qb","bl"
"肛肠外科实习","MED5577M（18190130）","MED5577M","2.0","专业课","临床医学系","所有类（专业）","zy_qb","bl"
"钢结构","OC3032M（74121030）","OC3032M","2.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"钢结构设计原理","CCEA3722M（12122500）","CCEA3722M","3.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"钢筋混凝土结构设计","CCEA3723M（12120371）","CCEA3723M","3.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"港航工程施工技术","OC3061M（74120860）","OC3061M","1.5","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"港口布局与优化","OC3041M（74190140）","OC3041M","2.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"高超声速飞行器导论","AA3034M（26120322）","AA3034M","2.5","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"高等代数与解析几何Ⅱ","MATH1202F（82120190）","MATH1202F","5.0","专业基础课程","数学科学学院","跨类(专业)选课","xk_1_1","bl"
"高电压技术","EE3451M（10191022）","EE3451M","2.5","专业课","电气工程学院","所有类（专业）","zy_qb","bl"
"高尔夫球","PPAE0003G（40103300）","PPAE0003G","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"高分子材料基础","CBE3034M（81120240）","CBE3034M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"高分子材料专业实验","PSE3105M（09120091）","PSE3105M","1.5","专业课","高分子科学与工程学系","跨类(专业)选课","xk_1_1","bl"
"高分子构筑学","PSE3201M（65190010）","PSE3201M","2.0","专业课","高分子科学与工程学系","国际化课程","gjhkc","zl"
"高分子化学（甲）","PSE2101M（09120111）","PSE2101M","4.0","专业课","高分子科学与工程学系","所有类（专业）","zy_qb","bl"
"高分子化学（乙）","CBE2001M（09120112）","CBE2001M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"高分子近代史","PSE3202M（09193011）","PSE3202M","1.5","专业课","高分子科学与工程学系","跨类(专业)选课","xk_1_1","bl"
"高分子科学与工程进展","PSE3203M（65190100）","PSE3203M","1.5","专业课","高分子科学与工程学系","国际化课程","gjhkc","zl"
"高分子专业英语","PSE2102M（09193070）","PSE2102M","2.0","专业课","高分子科学与工程学系","所有类（专业）","zy_qb","bl"
"高级财务会计","MGMT3002M（20120040）","MGMT3002M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"高级俄语Ⅱ","SIS3102M（05120811）","SIS3102M","6.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级俄语Ⅳ","SIS4102M（05125640）","SIS4102M","2.5","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级法语Ⅱ","SIS3302M（05120831）","SIS3302M","5.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级法语Ⅳ","SIS4302M（05123700）","SIS4302M","3.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级汉语综合","INTC3013M（23190230）","INTC3013M","3.0","专业课","国际教育学院","所有类（专业）","zy_qb","bl"
"高级宏观经济学","ECON3008M（01186160）","ECON3008M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"高级日语Ⅱ","SIS3502M（05120871）","SIS3502M","4.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级西班牙语Ⅱ","SIS3402M（05126171）","SIS3402M","6.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高级英语视听Ⅱ","SIS2009M（05120942）","SIS2009M","1.5","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"高聚物成型加工原理","PSE3204M（09120150）","PSE3204M","3.0","专业课","高分子科学与工程学系","跨类(专业)选课","xk_1_1","bl"
"高性能计算基础","AA3035M（26120360）","AA3035M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"歌唱艺术","PPAE0731G（4817N006）","PPAE0731G","2.0","通识","公共体育与艺术部","全部课程","xk_n","bl"
"个性心理学","PSY3020M（06199011）","PSY3020M","2.0","专业课","心理与行为科学系","qbkc","xk_rdxkc",""
"给水排水工程","ENVR3213M（14120230）","ENVR3213M","1.5","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"给水排水管网系统","CCEA3730M（12123040）","CCEA3730M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程材料","ME2004F（081C0220）","ME2004F","2.0","专业基础课程","机械工程学院","所有类（专业）","zy_qb","bl"
"工程材料","CCEA2716M","CCEA2716M","2.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程材料实验","CCEA2717M","CCEA2717M","0.5","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程电磁场与波","EE2102M（10120420）","EE2102M","3.0","专业课","电气工程学院","所有类（专业）","zy_qb","bl"
"工程防灾减灾","CCEA4738M（12195600）","CCEA4738M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程荷载与可靠度设计原理","CCEA2719M","CCEA2719M","1.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程化学","CHEM1004G（771T0050）","CHEM1004G","2.0","通识","化学系","全部课程","xk_b","bl"
"工程化学实验","CHEM1007G（771T0110）","CHEM1007G","0.5","通识","化学系","全部课程","xk_b","bl"
"工程经济","CCEA2710M（12121311）","CCEA2710M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程经济与管理","CCEA5104M（12195640）","CCEA5104M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程流体力学","ME2005M","ME2005M","1.5","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"工程流体力学（乙）","ENER2401M（59190180）","ENER2401M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"工程流体实验技术","AA3022M（26120260）","AA3022M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"工程伦理","ME0400G（5814N001）","ME0400G","2.5","通识","机械工程学院","全部课程","xk_n","bl"
"工程热力学","AA2013M（26120460）","AA2013M","2.0","专业课","航空航天学院","所有类（专业）","zy_qb","bl"
"工程热力学（甲）","ENER2003M","ENER2003M","3.5","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"工程生物学","CBE3043M（81190090）","CBE3043M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"工程实践认知体验","ME0700G（5817N001）","ME0700G","1.0","通识","机械工程学院","全部课程","xk_n","bl"
"工程数值方法","ME2109M","ME2109M","3.0","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"工程图学","ME1001F（081C0130）","ME1001F","2.5","专业基础课程","机械工程学院","跨类(专业)选课","xk_1_1","bl"
"工程图学（H）","ME1001FH（081R0130）","ME1001FH","2.5","专业基础课程","机械工程学院","专业基础课程","Z","bl"
"工程项目管理","CCEA3733M（12194310）","CCEA3733M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程心理学与实验","06199330","06199330","3.0","专业课","心理与行为科学系","所有类（专业）","zy_qb","bl"
"工程信息管理","CCEA3731M（12121770）","CCEA3731M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工程训练","ME1002F（081C0251）","ME1002F","1.5","专业基础课程","机械工程学院","qbkc","xk_rdxkc",""
"工程造价计价与控制","CCEA3134M（12195590）","CCEA3134M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"工商启航大讲堂","MGMT2027M（20188130）","MGMT2027M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"工业大数据技术与应用","ME3425M（58120580）","ME3425M","2.0","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"工业软件开发技术","ME3438M（58120520）","ME3438M","2.0","专业课","机械工程学院","所有类（专业）","zy_qb","bl"
"工业微生物实验","CBE3002M（09120190）","CBE3002M","1.5","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"公共部门财务管理","PA3004M（24196040）","PA3004M","2.0","专业课","公共管理学院","国际化课程","gjhkc","zl"
"公共管理研究方法","PA2002M（24122001）","PA2002M","4.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"公共经济学","PA2003M（24120311）","PA2003M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"公共经济学文献选读与论文写作","ECON3010M（01122350）","ECON3010M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"公共数据治理","PA2086M","PA2086M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"公共卫生基本技能","MED4413M（18198060）","MED4413M","2.5","专业课","公共卫生学院","所有类（专业）","zy_qb","bl"
"公共演讲","MIC1112M（25122040）","MIC1112M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"公共预算管理","PA3006M（24122050）","PA3006M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"公共政策学","PA2002F（241A0010）","PA2002F","3.0","专业基础课程","公共管理学院","跨类(专业)选课","xk_1_1","bl"
"公开水域安全与救援（初级）","PPAE0004G（40100820）","PPAE0004G","1.0","通识","公共体育与艺术部","体育课程","xk_8","bl"
"公司理财","ECON2005M（01120940）","ECON2005M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"公务员制度","PA3007M（24120350）","PA3007M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"公债学","ECON3012M（01120740）","ECON3012M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"功率电子线路设计","EE3571M（10194160）","EE3571M","2.0","专业课","电气工程学院","所有类（专业）","zy_qb","bl"
"功能高分子导论","65120011","65120011","4.0","专业课","高分子科学与工程学系","所有类（专业）","zy_qb","bl"
"功能陶瓷材料与器件","MSE3310M（09192290）","MSE3310M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"功能与精细化学品","CBE3039M（81120330）","CBE3039M","2.5","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"构造地质学","GEOS2007M（06123610）","GEOS2007M","3.5","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"构造地质学纲要","GEOS2001MZ（831Q0020）","GEOS2001MZ","3.5","专业课","地球科学学院","专业基础课程","Z","bl"
"古代汉语Ⅱ","LIT2020M（04124640）","LIT2020M","3.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"古典日语语法","SIS3514M（05125421）","SIS3514M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"古典影像技法：建筑、空间、人","CCEA2116M（12196240）","CCEA2116M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"古籍整理概论","LIT3117M（04129950）","LIT3117M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"古建筑史:从起源到新古典主义","CCEA3113M（12196180）","CCEA3113M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"古生物学与地史学","GEOS2006M","GEOS2006M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"古文字学研究","LIT2013M（04125320）","LIT2013M","2.0","专业课","文学院","所有类（专业）","zy_qb","bl"
"固定收益证券分析和模型","ECON3013M（01122240）","ECON3013M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"固体废物处理与处置","ENVR3206M（14120091）","ENVR3206M","2.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"固体废物污染控制实验","ENVR3209M（14195540）","ENVR3209M","1.0","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"固体废物污染控制原理与技术","ENVR3107M（14120810）","ENVR3107M","1.5","专业课","环境与资源学院","所有类（专业）","zy_qb","bl"
"固体物理","OPT2021M（84190160）","OPT2021M","2.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"固体物理Ⅰ","PHY3005MZ（061Q0054）","PHY3005MZ","4.0","专业课","物理学院","专业基础课程","Z","bl"
"固体物理Ⅰ","PHY3005M（06120500）","PHY3005M","4.0","专业课","物理学院","所有类（专业）","zy_qb","bl"
"观赏园艺学","CAB3216M（16195530）","CAB3216M","2.0","专业课","农业与生物技术学院","所有类（专业）","zy_qb","bl"
"管理沟通","MGMT2003M（20120200）","MGMT2003M","2.0","专业课","管理学院","跨类(专业)选课","xk_1_1","bl"
"管理会计","MGMT2002M（20120180）","MGMT2002M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"管理前沿文献导读","MGMT3053M（20197020）","MGMT3053M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"管理统计","MGMT2012M（20123171）","MGMT2012M","3.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"管理写作","MGMT2038M（20196900）","MGMT2038M","1.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"管理学","MGMT1001F（201A0020）","MGMT1001F","3.0","专业基础课程","管理学院","跨类(专业)选课","xk_1_1","bl"
"光电材料与器件","MSE3105M（09192280）","MSE3105M","2.0","专业课","材料科学与工程学院","所有类（专业）","zy_qb","bl"
"光电创新创业","OPT3039M（84190170）","OPT3039M","2.0","专业课","光电科学与工程学院","qbkc","xk_rdxkc",""
"光电检测技术及系统","OPT3013M（66120070）","OPT3013M","3.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光电设计与综合实验","OPT3012M（84120080）","OPT3012M","2.5","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光电信息处理综合实验","ISEE3035M（67180080）","ISEE3035M","2.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"光电信息科学与工程导论","OPT1001M（84120041）","OPT1001M","2.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光电子学基础","ISEE3036M（85120160）","ISEE3036M","3.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"光基科技与人类文明","OPT0900G（8414S001）","OPT0900G","3.0","通识","光电科学与工程学院","全部课程","xk_n","bl"
"光谱技术及应用","OPT3037M（66190130）","OPT3037M","2.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光通信技术","84190060","84190060","2.5","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光通信技术及实验","OPT2019M","OPT2019M","3.0","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光通信实验","84190070","84190070","1.5","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光纤通信与网络","ISEE3037M（67190110）","ISEE3037M","2.0","专业课","信息与电子工程学院","所有类（专业）","zy_qb","bl"
"光学计算方法","OPT3068M","OPT3068M","1.5","专业课","光电科学与工程学院","国际化课程","gjhkc","zl"
"光学相干层析技术及应用","66190250","66190250","1.5","专业课","光电科学与工程学院","所有类（专业）","zy_qb","bl"
"光学专题","PHY3021M（06111181）","PHY3021M","2.0","专业课","物理学院","所有类（专业）","zy_qb","bl"
"广播电视学","MIC1155M（251A9030）","MIC1155M","2.0","专业课","传媒与国际文化学院","跨类(专业)选课","xk_1_1","bl"
"广告经营管理","MIC2008M（25120220）","MIC2008M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"广告设计","MIC2010M（25120240）","MIC2010M","2.0","专业课","传媒与国际文化学院","所有类（专业）","zy_qb","bl"
"广告学","MGMT3003M（20120230）","MGMT3003M","2.0","专业课","管理学院","所有类（专业）","zy_qb","bl"
"广义函数论","MATH3102M（82120120）","MATH3102M","2.0","专业课","数学科学学院","所有类（专业）","zy_qb","bl"
"广义相对论","PHY4003M1","PHY4003M1","3.0","专业课","物理学院","所有类（专业）","zy_qb","bl"
"轨道交通运营组织与管理","12195760","12195760","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"国际服务贸易","ECON2006M（01121201）","ECON2006M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"国际关系史","HIST3041M（04196151）","HIST3041M","2.0","专业课","历史学院","所有类（专业）","zy_qb","bl"
"国际关系学","PA2050M（24121390）","PA2050M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国际关系与国际法","SIS2805M（05127390）","SIS2805M","2.0","专业课","外国语学院","所有类（专业）","zy_qb","bl"
"国际海洋物流概论","OC3042M（74190300）","OC3042M","2.0","专业课","海洋学院","国际化课程","gjhkc","zl"
"国际金融学","ECON2007M（01120260）","ECON2007M","3.0","专业课","经济学院","国际化课程","gjhkc","zl"
"国际经济学","ECON2008M（01186190）","ECON2008M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"国际贸易实务","ECON2009M（01120320）","ECON2009M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"国际贸易实务实验","ECON3018M（01122190）","ECON3018M","1.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"国际贸易学","ECON2010M（01121090）","ECON2010M","3.0","专业课","经济学院","跨类(专业)选课","xk_1_1","bl"
"国际商务英语","ECON3020M（01122290）","ECON3020M","3.0","专业课","经济学院","所有类（专业）","zy_qb","bl"
"国际事务与全球治理","PA3125M（24122880）","PA3125M","3.0","专业课","公共管理学院","国际化课程","gjhkc","zl"
"国际私法","LAW3020M（02120120）","LAW3020M","3.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"国际学生创新创业教育与实践","INTC3024M（23188040）","INTC3024M","1.0","专业课","国际教育学院","所有类（专业）","zy_qb","bl"
"国际争端解决","LAW3009M（02192440）","LAW3009M","2.0","专业课","光华法学院","所有类（专业）","zy_qb","bl"
"国际政治理论","PA2051M（24121690）","PA2051M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国际组织","PA3085M（24121710）","PA3085M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国际组织实务","SIS1804M（05198430）","SIS1804M","2.0","专业课","外国语学院","跨类(专业)选课","xk_1_1","bl"
"国际组织与教育发展","EDU3003M（03123620）","EDU3003M","2.0","专业课","教育学院","所有类（专业）","zy_qb","bl"
"国际组织与全球治理","SIS1801M（05197720）","SIS1801M","2.0","专业课","外国语学院","跨类(专业)选课","xk_1_1","bl"
"国家大科学装置先进光源概述","MSE0403G（8014N004）","MSE0403G","1.5","通识","材料科学与工程学院","全部课程","xk_n","bl"
"国土空间规划","PA3043M（24122650）","PA3043M","3.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国土空间规划","GEOS3020M（83120670）","GEOS3020M","2.0","专业课","地球科学学院","所有类（专业）","zy_qb","bl"
"国土空间规划理论与方法","CCEA4409M（12122920）","CCEA4409M","2.0","专业课","建筑工程学院","所有类（专业）","zy_qb","bl"
"国土空间规划实施","PA3044M（24196200）","PA3044M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国土整治与生态修复","PA3127M","PA3127M","2.0","专业课","公共管理学院","所有类（专业）","zy_qb","bl"
"国外马克思主义","MARX3004M（55120100）","MARX3004M","2.0","专业课","马克思主义学院","所有类（专业）","zy_qb","bl"
"果蔬产品工艺学","BEFS3054M（13120120）","BEFS3054M","2.0","专业课","生物系统工程与食品科学学院","所有类（专业）","zy_qb","bl"
"过程工程流体力学","ENER2202M（59190050）","ENER2202M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"过程机械","09120650","09120650","3.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"过程建模与仿真","CBE3021M（09590050）","CBE3021M","2.0","专业课","化学工程与生物工程学院","所有类（专业）","zy_qb","bl"
"过程设备的选型与设计","ENER3218M","ENER3218M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"过程设备设计","09120211","09120211","3.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"过程装备工程设计","ENER3206M（09120220）","ENER3206M","2.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"过程装备控制技术","09120231","09120231","3.0","专业课","能源工程学院","所有类（专业）","zy_qb","bl"
"海上风电工程技术","OC3030M（74121160）","OC3030M","1.5","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"海洋地球物理学","OC4004M（74190340）","OC4004M","2.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"海洋调查方法","OC3049M（74190230）","OC3049M","3.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"海洋动力学基础","OC3026M（74190591）","OC3026M","3.0","专业课","海洋学院","所有类（专业）","zy_qb","bl"
"海洋管理概论","OC3065M（74120150）","OC3065M","1.5","专业课","海洋学院","所有类（专业）","zy_qb","bl"
